조사명,경인로(51)_상_2
조사자,
노선,
행선,
차로,
시점,0.0000
종점,9.77
리포트간격(m),10
시작시간,2022-5-3 15:16:0
종료시간,2022-5-3 15:56:27

거리,도로현황,도로표면,소성변형,종단평탄성,,,기하구조,,,조사속도,궤적,,도로포장파손 분석결과,,HPICI,,NHPCI,SPI,,,AP종방향균열[m 아스팔트],,,,AP횡방향균열[m 아스팔트],,,,AP시공줄눈[m 아스팔트],,,,AP거북등균열[m² 아스팔트],,,,AP패칭[m² 아스팔트],,,,AP포트홀[m² 아스팔트],,,,조사시각,기하구조 2,,차로폭,분석 관심 폭,GEOFOG3D,
[km],이미지,이미지,직선자[mm],CRI[m/km],최대[m/km],평균[m/km],편경사[%],종단경사[%],곡률[1/m],속도[km/h],위도[˚],경도[˚],균열량(m²),균열율(%),아스팔트,콘크리트,NHPCI,도시고속도로,주간선도로,보조간선도로,EA,L,M,H,EA,L,M,H,EA,L,M,H,EA,L,M,H,EA,L,M,H,EA,L,M,H,비고,,평면율[deg/km],고도율[m/km],m,Width [m],종단선형[m/km],평면선형[deg/km]
0.0100,경인로(51)_상_2_v000000000.jpg,경인로(51)_상_2_s000010000.jpg,3.65,3.61,3.83,3.61,0.00,0.00,0.000000,20.27,37.521400054,126.917689099,0.0500,0.13,-0.17,2.85,5.81,6.94,7.22,7.44,0,0.2000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0300,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교차로_서울교교차로,0.00,0.00,0.00,0.00,3.800,5.08,492.86
0.0200,경인로(51)_상_2_v000010000.jpg,경인로(51)_상_2_s000020000.jpg,2.45,3.88,4.35,3.88,-3.13,3.31,-0.007255,20.38,37.521471860,126.917629025,0.0500,0.13,1.00,2.66,5.68,6.52,6.84,7.10,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0500,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교차로_서울교교차로,0.00,0.00,33.10,0.00,3.800,8.16,985.99
0.0300,경인로(51)_상_2_v000020000.jpg,경인로(51)_상_2_s000030000.jpg,2.54,7.78,8.31,7.78,-4.19,3.75,-0.023140,19.75,37.521547715,126.917554266,0.2300,0.61,-0.42,1.09,4.11,3.35,3.96,4.45,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.2300,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교차로_서울교교차로,0.00,0.00,37.50,0.00,3.800,10.65,1685.21
0.0400,경인로(51)_상_2_v000030000.jpg,경인로(51)_상_2_s000040000.jpg,2.39,5.45,6.01,5.45,-4.58,3.71,-0.035392,19.13,37.521595690,126.917457314,0.1700,0.45,0.46,1.89,4.94,5.19,5.63,5.99,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.1700,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교차로_서울교교차로,0.00,0.00,37.10,0.00,3.800,10.30,1874.80
0.0500,경인로(51)_상_2_v000040000.jpg,경인로(51)_상_2_s000050000.jpg,4.02,7.77,8.75,7.77,-4.06,3.08,-0.058673,16.08,37.521611890,126.917340532,1.9400,5.11,-3.01,-0.15,3.82,2.98,3.61,4.12,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,1.8600,0.0800,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교차로_서울교교차로,0.00,0.00,30.80,0.00,3.800,11.23,1738.23
0.0600,경인로(51)_상_2_v000050000.jpg,경인로(51)_상_2_s000060000.jpg,2.77,6.15,8.15,6.15,-3.13,3.13,-0.037707,22.53,37.521578645,126.917236976,0.2400,0.63,-0.63,1.13,4.15,3.48,4.07,4.56,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.2400,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교차로_서울교교차로,0.00,0.00,31.30,0.00,3.800,10.60,1410.69
0.0700,경인로(51)_상_2_v000060000.jpg,경인로(51)_상_2_s000070000.jpg,3.64,6.78,6.86,6.78,-2.49,3.57,-0.004116,29.62,37.521526838,126.917149757,0.2700,0.71,-1.27,1.48,4.51,4.51,5.01,5.42,0,2.7000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교차로_서울교교차로/교량_서울교,0.00,0.00,35.70,0.00,3.259,8.11,912.34
0.0800,경인로(51)_상_2_v000070000.jpg,경인로(51)_상_2_s000080000.jpg,2.22,5.18,5.31,5.18,-2.42,3.50,0.000028,33.80,37.521479498,126.917067952,0.2200,0.58,0.82,2.05,5.24,5.75,6.13,6.45,0,2.2000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,35.00,0.00,3.431,6.05,209.13
0.0900,경인로(51)_상_2_v000080000.jpg,경인로(51)_상_2_s000090000.jpg,2.68,3.07,3.30,3.07,-2.56,3.43,0.000680,36.86,37.521419193,126.916978957,0.1741,0.46,1.00,2.85,6.20,7.35,7.59,7.78,0,0.0000,0.0000,0.0000,0,1.7414,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,교량_서울교,0.00,0.00,34.30,0.00,3.431,6.31,0.48
